Date,Close,year,month,day,Year
2022-06-19,20553.271484,2022,6,19,2022
2022-06-20,20599.537109,2022,6,20,2022
2022-06-21,20710.597656,2022,6,21,2022
2022-06-22,19987.029297,2022,6,22,2022
2022-06-23,21085.876953,2022,6,23,2022
2022-06-24,21231.65625,2022,6,24,2022
2022-06-25,21502.337891,2022,6,25,2022
2022-06-26,21027.294922,2022,6,26,2022
2022-06-27,20735.478516,2022,6,27,2022
2022-06-28,20280.634766,2022,6,28,2022
2022-06-29,20104.023438,2022,6,29,2022
2022-06-30,19784.726563,2022,6,30,2022
2022-07-01,19269.367188,2022,7,1,2022
2022-07-02,19242.255859,2022,7,2,2022
2022-07-03,19297.076172,2022,7,3,2022
2022-07-04,20231.261719,2022,7,4,2022
2022-07-05,20190.115234,2022,7,5,2022
2022-07-06,20548.246094,2022,7,6,2022
2022-07-07,21637.587891,2022,7,7,2022
2022-07-08,21731.117188,2022,7,8,2022
2022-07-09,21592.207031,2022,7,9,2022
2022-07-10,20860.449219,2022,7,10,2022
2022-07-11,19970.556641,2022,7,11,2022
2022-07-12,19323.914063,2022,7,12,2022
2022-07-13,20212.074219,2022,7,13,2022
2022-07-14,20569.919922,2022,7,14,2022
2022-07-15,20836.328125,2022,7,15,2022
2022-07-16,21190.316406,2022,7,16,2022
2022-07-17,20779.34375,2022,7,17,2022
2022-07-18,22485.689453,2022,7,18,2022
2022-07-19,23389.433594,2022,7,19,2022
2022-07-20,23231.732422,2022,7,20,2022
2022-07-21,23164.628906,2022,7,21,2022
2022-07-22,22714.978516,2022,7,22,2022
2022-07-23,22465.478516,2022,7,23,2022
2022-07-24,22609.164063,2022,7,24,2022
2022-07-25,21361.701172,2022,7,25,2022
2022-07-26,21239.753906,2022,7,26,2022
2022-07-27,22930.548828,2022,7,27,2022
2022-07-28,23843.886719,2022,7,28,2022
2022-07-29,23804.632813,2022,7,29,2022
2022-07-30,23656.207031,2022,7,30,2022
2022-07-31,23336.896484,2022,7,31,2022
2022-08-01,23314.199219,2022,8,1,2022
2022-08-02,22978.117188,2022,8,2,2022
2022-08-03,22846.507813,2022,8,3,2022
2022-08-04,22630.957031,2022,8,4,2022
2022-08-05,23289.314453,2022,8,5,2022
2022-08-06,22961.279297,2022,8,6,2022
2022-08-07,23175.890625,2022,8,7,2022
2022-08-08,23809.486328,2022,8,8,2022
2022-08-09,23164.318359,2022,8,9,2022
2022-08-10,23947.642578,2022,8,10,2022
2022-08-11,23957.529297,2022,8,11,2022
2022-08-12,24402.818359,2022,8,12,2022
2022-08-13,24424.068359,2022,8,13,2022
2022-08-14,24319.333984,2022,8,14,2022
2022-08-15,24136.972656,2022,8,15,2022
2022-08-16,23883.291016,2022,8,16,2022
2022-08-17,23335.998047,2022,8,17,2022
2022-08-18,23212.738281,2022,8,18,2022
2022-08-19,20877.552734,2022,8,19,2022
2022-08-20,21166.060547,2022,8,20,2022
2022-08-21,21534.121094,2022,8,21,2022
2022-08-22,21398.908203,2022,8,22,2022
2022-08-23,21528.087891,2022,8,23,2022
2022-08-24,21395.019531,2022,8,24,2022
2022-08-25,21600.904297,2022,8,25,2022
2022-08-26,20260.019531,2022,8,26,2022
2022-08-27,20041.738281,2022,8,27,2022
2022-08-28,19616.814453,2022,8,28,2022
